time ,device 69,device 70,device 71,device 72,device 73,device 75,device 76,device 77,device 78,device 79,device 80,device 81,device 82,device 83,device 84,device 85,device 86,device 87,device 88,device 89,device 91,device 92,device 93,device 94,device 95,device 96,device 97,device 98,device 99,device 100,device 101,device 103,device 104,device 105,device 106,device 107,device 108,device 109,device 110
2022/8/1,158.45747,234.9872442,210.4728499,155.4069998,,,282.4722241,115.6810063,171.0441296,173.9619895,332.2241021,266.5793427,199.2469217,470.2027362,190.224754,285.2881694,170.9474576,176.5376173,,413.9031527,168.2124763,307.1426946,435.2484682,183.7730573,239.8977908,338.6287917,224.7844966,169.2796995,424.071014,211.3815168,210.0922077,,,219.0845193,162.079275,144.8666532,253.1058925,16.5793042,187.3127989
2022/8/2,149.4716887,255.6655585,406.9524273,140.9011478,,,476.9196796,112.3612791,177.4343042,169.1574023,320.0878309,340.8067683,282.5543526,568.0316674,213.6422471,395.0687443,159.8515364,175.0609223,,298.7876156,159.531737,262.1018789,415.7338845,185.0888984,254.2262068,448.7621113,188.559527,159.4859355,418.6997471,247.1935532,271.8814926,,,224.302089,233.1518836,192.1863006,500.5539894,16.62099278,175.4869076
2022/8/3,155.1425951,287.427043,637.2928154,143.6165522,,,399.7093584,110.9845504,181.9659775,154.6445575,316.1784592,334.3935968,354.6766796,662.7549538,201.6901877,336.7359135,167.2567779,163.7852588,,407.3771977,160.9841114,259.9735048,616.5414719,180.0100648,283.3855104,502.1129374,198.0617446,156.7292348,446.3449671,343.1177379,386.3203091,,,232.4101239,235.2280993,189.8966883,676.394823,16.70302872,180.9772755
2022/8/4,166.4523176,403.0866303,352.6385931,151.6587931,,,462.8706102,170.0801353,212.6419473,233.5184532,259.580616,442.5192774,245.2453992,815.4014993,224.8653558,298.218202,180.1435501,191.6437365,,407.5306305,244.2950532,440.0088033,313.9317327,180.8661091,355.7294374,631.0520314,194.8574572,165.8710482,602.2239529,271.3988241,255.4097319,,,340.3277645,240.0604703,179.794145,273.403516,16.65450153,196.3721762
2022/8/5,159.76249,416.3008378,226.2141637,142.677319,,,653.5880045,233.0646112,267.8176788,245.8849413,253.6454282,337.8282601,248.607564,571.8651463,386.7017298,301.9573245,172.8539323,224.0394603,,443.794606,309.9845738,585.065216,279.5175911,169.7083588,206.46586,348.2767973,180.6100038,164.8489858,390.2776362,181.0086875,195.5713578,,,340.7991484,245.8796696,202.0871242,204.9401945,16.71491186,186.1643932
2022/8/6,130.560141,366.9048935,153.4465811,112.8232662,,,626.5146464,158.8312056,237.0762904,177.5079274,195.1154197,270.1696013,165.6113349,412.2944318,342.3823344,208.3028566,147.6669278,179.056779,,267.7733572,251.1184822,416.4268324,178.7643969,138.4838829,155.0073448,200.3525354,152.3393916,134.6835794,375.2160805,140.5325841,155.7931286,,,331.7756288,231.1270826,172.8233701,144.8221855,16.590211,159.3442559
2022/8/7,125.2813982,362.6330028,236.3234851,110.0372819,,,367.7706278,140.0366732,172.1207255,160.6058122,209.6045438,197.1900918,174.5975564,264.6892063,303.0386167,229.3678948,137.3310921,206.7582728,,311.6703413,158.171197,342.6875263,190.218338,137.2572245,189.2467458,193.6944028,158.4181467,128.4402982,385.2904328,174.3992446,192.0798909,,,271.2304394,231.8975343,161.8634346,151.2488905,16.77489378,150.6635775
2022/8/8,143.8825147,250.5353226,416.0730094,141.808979,,,241.2232568,103.065761,156.2693207,,219.6034656,223.4893191,185.9059409,226.3217953,165.198015,247.234627,166.0440103,155.2590562,,227.5563346,143.2486645,215.9827554,237.3116188,259.4048314,253.2520352,255.2160881,218.0793232,143.8752633,352.4726397,282.6161447,291.9216899,,,206.1219372,258.6118706,158.1593585,185.2651698,16.87399184,221.0548938
2022/8/9,115.7051507,89.37909973,224.2289834,171.1643748,,,96.85534345,69.43554652,98.20255508,,237.9991241,113.3436193,149.5886559,127.5336052,98.57327351,105.4026955,169.7010457,128.9497913,,119.1173644,85.29822474,105.0122106,107.0535315,480.3648446,185.9764553,127.4949778,296.416061,91.73194296,234.9932188,259.9837477,319.0192059,,,113.3181408,267.6099588,164.5946966,91.0857733,16.94036399,298.9060777
2022/8/10,129.6176014,114.5388842,187.7436752,158.3802959,,,,88.17914846,,,133.1100554,146.633583,160.0902812,158.6350623,132.2728855,161.7309919,171.8973832,163.1506744,,145.0442985,106.4592872,132.7129645,130.8956664,297.5513867,196.0517354,161.6107114,242.3380623,109.1275788,256.09078,213.3908363,250.784789,,,140.452972,271.7606933,187.7660903,119.8408398,16.70272015,266.6123328
2022/8/11,149.7746021,187.4038783,187.7231822,148.251387,,,,112.2569931,,,506.8711075,198.9078291,151.1509821,175.9448581,183.8380961,314.7961614,176.7856798,160.3845132,,195.4569366,142.1638989,199.6741825,203.1683237,228.7667164,183.6040682,208.2216858,270.1318847,154.7529655,255.724813,207.4359976,231.4088622,,,181.828069,264.7795897,177.6116407,206.4984851,16.72163075,211.073712
2022/8/12,139.1955257,320.6434607,349.7900454,128.6036454,,,,165.6124689,,,237.5642335,255.642159,203.6912997,315.2639783,282.7902228,349.5356609,154.132506,196.8573676,,299.7626324,214.5404544,429.764978,328.5637042,155.075122,207.8551366,242.0032162,177.1036138,143.7161205,354.1749239,202.4616787,367.6910664,,,304.7337088,306.2637023,161.9602855,291.6253906,16.59334086,164.6539753
2022/8/13,158.5127311,244.7641439,354.5451398,153.6809372,,,,144.4447204,,,284.0122563,232.6871792,175.3826358,271.6406104,186.2121349,267.9741147,176.5119602,206.9372252,,217.9547864,164.9552786,445.6379102,246.3020732,220.4872503,230.4225457,,278.861099,155.0846175,401.583809,222.6746929,238.9759828,,,275.5648601,297.5403498,162.7950918,218.9796145,16.66222903,201.3221812
2022/8/14,175.705232,283.5447485,225.4354075,195.3010089,,,,139.7968052,,,365.2822176,220.9016186,196.5966234,259.7375722,284.270404,297.7715329,191.3851323,218.8611639,,256.5004087,170.4366086,373.7688348,280.5666326,233.2022307,251.2681904,,240.1175652,164.5751718,393.875678,206.2132096,214.0879987,,,285.8187111,325.2154402,169.0449644,176.9898092,16.74657875,212.8700981
2022/8/15,178.9634048,308.4177995,253.6428204,179.7336029,,,214.2907201,127.6480873,192.9122427,,520.1352471,274.4547985,248.8851536,172.2519051,336.0486672,290.1434745,215.1079761,210.3417707,,365.8527134,159.6735295,342.8581912,337.6632735,336.5749717,216.032582,142.8887836,344.3542644,197.9965885,244.7263622,208.1854675,243.8685609,,164.9394038,245.276894,292.7372434,164.4131223,239.6689146,16.48300242,314.3003868
2022/8/16,,184.0011059,363.2865769,264.0107456,,,169.2797943,132.6571984,191.5244337,,179.9198323,204.4350099,226.6190213,167.6391269,201.8545384,218.6066721,290.859765,200.4038972,,480.3661955,147.0303982,194.8972891,,467.036902,296.9528776,231.1620179,608.7263495,175.794626,426.4512269,325.1033347,296.3859313,,166.1873687,200.6808121,228.1692311,182.7078593,190.8035689,,478.2523784
2022/8/17,,183.8015031,342.4481202,194.7233883,,,276.4969218,114.3885979,169.6942559,,182.1307751,245.6285198,205.1492343,242.5882936,197.3736361,295.9535424,211.3103173,180.8713649,,,137.6595459,178.9895767,,306.1358809,224.3400648,247.3614799,399.5461465,162.0595991,357.9422326,238.9481718,273.1540544,,142.9954326,183.5294339,197.0442734,172.8211213,283.854084,,329.9145721
