"airTemperature.noaa","airTemperature.sg","cloudCover.noaa","cloudCover.sg","gust.noaa","gust.sg","humidity.noaa","humidity.sg","precipitation.noaa","precipitation.sg","pressure.noaa","pressure.sg","time","windDirection.noaa","windDirection.sg","windSpeed.noaa","windSpeed.sg"
25.7,25.7,1.87,1.87,9.96,9.96,32.4,32.4,0,0,1000.83,1000.83,2022-05-31 16:00:00,279.43,279.43,3.98,3.98
25.05,25.05,0.93,0.93,6.39,6.39,33.5,33.5,0,0,1001.28,1001.28,2022-05-31 17:00:00,321.38,321.38,3.34,3.34
24.4,24.4,0,0,2.82,2.82,34.6,34.6,0,0,1001.73,1001.73,2022-05-31 18:00:00,3.32,3.32,2.71,2.71
24.36,24.36,0,0,6.92,6.92,31.17,31.17,0,0,1002.26,1002.26,2022-05-31 19:00:00,5.96,5.96,3.98,3.98
24.31,24.31,0,0,11.02,11.02,27.73,27.73,0,0,1002.78,1002.78,2022-05-31 20:00:00,8.61,8.61,5.25,5.25
24.27,24.27,0,0,15.12,15.12,24.3,24.3,0,0,1003.31,1003.31,2022-05-31 21:00:00,11.25,11.25,6.52,6.52
25.6,25.6,0,0,14.01,14.01,23.6,23.6,0,0,1003.82,1003.82,2022-05-31 22:00:00,12.51,12.51,6.99,6.99
26.92,26.92,0,0,12.91,12.91,22.9,22.9,0,0,1004.33,1004.33,2022-05-31 23:00:00,13.76,13.76,7.45,7.45
28.25,28.25,0,0,11.8,11.8,22.2,22.2,0,0,1004.84,1004.84,2022-06-01 00:00:00,15.02,15.02,7.92,7.92
29.78,29.78,0,0,10.84,10.84,20.4,20.4,0,0,1004.67,1004.67,2022-06-01 01:00:00,19.36,19.36,8.06,8.06
31.31,31.31,0,0,9.88,9.88,18.6,18.6,0,0,1004.5,1004.5,2022-06-01 02:00:00,23.7,23.7,8.21,8.21
32.85,32.85,0,0,8.92,8.92,16.8,16.8,0,0,1004.33,1004.33,2022-06-01 03:00:00,28.04,28.04,8.35,8.35
33.76,33.76,0,0,7.65,7.65,15.7,15.7,0,0,1003.37,1003.37,2022-06-01 04:00:00,30.61,30.61,7.31,7.31
34.68,34.68,0,0,6.39,6.39,14.6,14.6,0,0,1002.4,1002.4,2022-06-01 05:00:00,33.17,33.17,6.27,6.27
35.6,35.6,0,0,5.12,5.12,13.5,13.5,0,0,1001.44,1001.44,2022-06-01 06:00:00,35.74,35.74,5.23,5.23
35.71,35.71,17,17,4.36,4.36,13.43,13.43,0,0,1000.87,1000.87,2022-06-01 07:00:00,44.62,44.62,4.58,4.58
35.82,35.82,34,34,3.59,3.59,13.37,13.37,0,0,1000.29,1000.29,2022-06-01 08:00:00,53.51,53.51,3.93,3.93
35.93,35.93,51,51,2.83,2.83,13.3,13.3,0,0,999.72,999.72,2022-06-01 09:00:00,62.39,62.39,3.28,3.28
33.81,33.81,34.33,34.33,2.82,2.82,14.97,14.97,0,0,999.88,999.88,2022-06-01 10:00:00,60.34,60.34,3.11,3.11
31.7,31.7,17.67,17.67,2.82,2.82,16.63,16.63,0,0,1000.04,1000.04,2022-06-01 11:00:00,58.28,58.28,2.95,2.95
29.58,29.58,1,1,2.81,2.81,18.3,18.3,0,0,1000.21,1000.21,2022-06-01 12:00:00,56.23,56.23,2.78,2.78
28.71,28.71,0.67,0.67,2.82,2.82,18.7,18.7,0,0,1000.48,1000.48,2022-06-01 13:00:00,41.43,41.43,2.83,2.83
27.85,27.85,0.33,0.33,2.83,2.83,19.1,19.1,0,0,1000.75,1000.75,2022-06-01 14:00:00,26.63,26.63,2.87,2.87
26.98,26.98,0,0,2.84,2.84,19.5,19.5,0,0,1001.03,1001.03,2022-06-01 15:00:00,11.83,11.83,2.92,2.92
26.23,26.23,1.67,1.67,2.33,2.33,20.37,20.37,0,0,1001.25,1001.25,2022-06-01 16:00:00,57.44,57.44,2.37,2.37
25.47,25.47,3.33,3.33,1.83,1.83,21.23,21.23,0,0,1001.48,1001.48,2022-06-01 17:00:00,103.06,103.06,1.81,1.81
24.71,24.71,5,5,1.32,1.32,22.1,22.1,0,0,1001.71,1001.71,2022-06-01 18:00:00,148.67,148.67,1.26,1.26
24.58,24.58,4.97,4.97,1.78,1.78,22.5,22.5,0,0,1001.79,1001.79,2022-06-01 19:00:00,99.8,99.8,1.76,1.76
24.45,24.45,4.93,4.93,2.24,2.24,22.9,22.9,0,0,1001.87,1001.87,2022-06-01 20:00:00,50.94,50.94,2.26,2.26
24.32,24.32,4.9,4.9,2.7,2.7,23.3,23.3,0,0,1001.95,1001.95,2022-06-01 21:00:00,2.07,2.07,2.76,2.76
25.7,25.7,9,9,2.24,2.24,23.13,23.13,0,0,1002.66,1002.66,2022-06-01 22:00:00,310.84,310.84,2.31,2.31
27.08,27.08,13.1,13.1,1.77,1.77,22.97,22.97,0,0,1003.37,1003.37,2022-06-01 23:00:00,259.6,259.6,1.85,1.85
28.45,28.45,17.2,17.2,1.31,1.31,22.8,22.8,0,0,1004.08,1004.08,2022-06-02 00:00:00,208.37,208.37,1.4,1.4
30.52,30.52,25.27,25.27,2.05,2.05,20.8,20.8,0,0,1003.51,1003.51,2022-06-02 01:00:00,203.56,203.56,2.01,2.01
32.6,32.6,33.33,33.33,2.79,2.79,18.8,18.8,0,0,1002.94,1002.94,2022-06-02 02:00:00,198.75,198.75,2.61,2.61
34.67,34.67,41.4,41.4,3.52,3.52,16.8,16.8,0,0,1002.37,1002.37,2022-06-02 03:00:00,193.94,193.94,3.22,3.22
35.68,35.68,60.93,60.93,3.26,3.26,15.47,15.47,0,0,1001.44,1001.44,2022-06-02 04:00:00,196.22,196.22,3.14,3.14
36.68,36.68,80.47,80.47,3,3,14.13,14.13,0,0,1000.52,1000.52,2022-06-02 05:00:00,198.5,198.5,3.05,3.05
37.69,37.69,100,100,2.73,2.73,12.8,12.8,0,0,999.59,999.59,2022-06-02 06:00:00,200.78,200.78,2.97,2.97
37.84,37.84,69.5,69.5,2.59,2.59,12.4,12.4,0,0,999.03,999.03,2022-06-02 07:00:00,185.06,185.06,2.34,2.34
38,38,39,39,2.46,2.46,12,12,0,0,998.47,998.47,2022-06-02 08:00:00,169.34,169.34,1.7,1.7
38.15,38.15,8.5,8.5,2.32,2.32,11.6,11.6,0,0,997.91,997.91,2022-06-02 09:00:00,153.62,153.62,1.07,1.07
