"airTemperature.noaa","airTemperature.sg","cloudCover.noaa","cloudCover.sg","gust.noaa","gust.sg","humidity.noaa","humidity.sg","precipitation.noaa","precipitation.sg","pressure.noaa","pressure.sg","time","windDirection.noaa","windDirection.sg","windSpeed.noaa","windSpeed.sg"
35.98,35.98,29.03,29.03,1.89,1.89,13.3,13.3,0,0,998.21,998.21,2022-06-02 10:00:00,167.45,167.45,1,1
33.8,33.8,49.57,49.57,1.46,1.46,15,15,0,0,998.51,998.51,2022-06-02 11:00:00,181.27,181.27,0.93,0.93
31.62,31.62,70.1,70.1,1.03,1.03,16.7,16.7,0,0,998.81,998.81,2022-06-02 12:00:00,195.1,195.1,0.86,0.86
30.65,30.65,69.93,69.93,1.5,1.5,17.8,17.8,0,0,999.41,999.41,2022-06-02 13:00:00,150.3,150.3,1.35,1.35
29.68,29.68,69.77,69.77,1.98,1.98,18.9,18.9,0,0,1000.02,1000.02,2022-06-02 14:00:00,105.5,105.5,1.84,1.84
28.71,28.71,69.6,69.6,2.46,2.46,20,20,0,0,1000.62,1000.62,2022-06-02 15:00:00,60.7,60.7,2.33,2.33
27.96,27.96,72.43,72.43,2.12,2.12,22.97,22.97,0,0,1000.72,1000.72,2022-06-02 16:00:00,117.06,117.06,1.91,1.91
27.21,27.21,75.27,75.27,1.78,1.78,25.93,25.93,0,0,1000.82,1000.82,2022-06-02 17:00:00,173.42,173.42,1.5,1.5
26.45,26.45,78.1,78.1,1.44,1.44,28.9,28.9,0,0,1000.91,1000.91,2022-06-02 18:00:00,229.78,229.78,1.08,1.08
25.99,25.99,52.07,52.07,1.5,1.5,34.57,34.57,0,0,1001.18,1001.18,2022-06-02 19:00:00,214.81,214.81,1.18,1.18
25.54,25.54,26.03,26.03,1.57,1.57,40.23,40.23,0,0,1001.45,1001.45,2022-06-02 20:00:00,199.85,199.85,1.27,1.27
25.08,25.08,0,0,1.63,1.63,45.9,45.9,0,0,1001.71,1001.71,2022-06-02 21:00:00,184.88,184.88,1.37,1.37
27.01,27.01,25.53,25.53,1.62,1.62,40.83,40.83,0,0,1002.22,1002.22,2022-06-02 22:00:00,168.95,168.95,1.63,1.63
28.93,28.93,51.07,51.07,1.61,1.61,35.77,35.77,0,0,1002.73,1002.73,2022-06-02 23:00:00,153.02,153.02,1.88,1.88
30.86,30.86,76.6,76.6,1.6,1.6,30.7,30.7,0,0,1003.23,1003.23,2022-06-03 00:00:00,137.09,137.09,2.14,2.14
32.58,32.58,82.87,82.87,2.51,2.51,27.8,27.8,0,0,1002.71,1002.71,2022-06-03 01:00:00,136.52,136.52,2.88,2.88
34.29,34.29,89.13,89.13,3.41,3.41,24.9,24.9,0,0,1002.19,1002.19,2022-06-03 02:00:00,135.94,135.94,3.62,3.62
36.01,36.01,95.4,95.4,4.32,4.32,22,22,0,0,1001.67,1001.67,2022-06-03 03:00:00,135.37,135.37,4.36,4.36
36.68,36.68,96.77,96.77,4.32,4.32,20.5,20.5,0,0,1000.86,1000.86,2022-06-03 04:00:00,135.06,135.06,4.43,4.43
37.35,37.35,98.13,98.13,4.32,4.32,19,19,0,0,1000.05,1000.05,2022-06-03 05:00:00,134.74,134.74,4.49,4.49
38.03,38.03,99.5,99.5,4.32,4.32,17.5,17.5,0,0,999.25,999.25,2022-06-03 06:00:00,134.43,134.43,4.56,4.56
37.95,37.95,98.17,98.17,4.35,4.35,18.23,18.23,0,0,998.72,998.72,2022-06-03 07:00:00,144.68,144.68,4.52,4.52
37.87,37.87,96.83,96.83,4.37,4.37,18.97,18.97,0,0,998.2,998.2,2022-06-03 08:00:00,154.93,154.93,4.47,4.47
37.79,37.79,95.5,95.5,4.4,4.4,19.7,19.7,0,0,997.67,997.67,2022-06-03 09:00:00,165.18,165.18,4.43,4.43
35.31,35.31,85.1,85.1,6.14,6.14,28.97,28.97,0,0,998.42,998.42,2022-06-03 10:00:00,165.18,165.18,4.55,4.55
32.84,32.84,74.7,74.7,7.89,7.89,38.23,38.23,0,0,999.17,999.17,2022-06-03 11:00:00,165.19,165.19,4.66,4.66
30.36,30.36,64.3,64.3,9.63,9.63,47.5,47.5,0,0,999.92,999.92,2022-06-03 12:00:00,165.19,165.19,4.78,4.78
29.95,29.95,73.6,73.6,6.79,6.79,48.97,48.97,0,0,1000.37,1000.37,2022-06-03 13:00:00,190.66,190.66,3.5,3.5
29.53,29.53,82.9,82.9,3.95,3.95,50.43,50.43,0,0,1000.81,1000.81,2022-06-03 14:00:00,216.12,216.12,2.23,2.23
29.12,29.12,92.2,92.2,1.1,1.1,51.9,51.9,0,0,1001.26,1001.26,2022-06-03 15:00:00,241.59,241.59,0.95,0.95
28.72,28.72,87.2,87.2,1.09,1.09,53,53,0,0,1001.11,1001.11,2022-06-03 16:00:00,232.96,232.96,0.98,0.98
28.32,28.32,82.2,82.2,1.08,1.08,54.1,54.1,0,0,1000.96,1000.96,2022-06-03 17:00:00,224.33,224.33,1,1
27.92,27.92,77.2,77.2,1.07,1.07,55.2,55.2,0,0,1000.81,1000.81,2022-06-03 18:00:00,215.7,215.7,1.03,1.03
27.01,27.01,82.87,82.87,1.1,1.1,54.47,54.47,0.16,0.16,1000.91,1000.91,2022-06-03 19:00:00,174.14,174.14,1.01,1.01
26.1,26.1,88.53,88.53,1.14,1.14,53.73,53.73,0.32,0.32,1001,1001,2022-06-03 20:00:00,132.59,132.59,0.99,0.99
25.19,25.19,94.2,94.2,1.17,1.17,53,53,0.48,0.48,1001.1,1001.1,2022-06-03 21:00:00,91.03,91.03,0.97,0.97
25.89,25.89,96.13,96.13,1.62,1.62,47.03,47.03,0.32,0.32,1001.64,1001.64,2022-06-03 22:00:00,134.54,134.54,1.28,1.28
26.58,26.58,98.07,98.07,2.08,2.08,41.07,41.07,0.16,0.16,1002.18,1002.18,2022-06-03 23:00:00,178.04,178.04,1.6,1.6
27.28,27.28,100,100,2.53,2.53,35.1,35.1,0.01,0.01,1002.72,1002.72,2022-06-04 00:00:00,221.55,221.55,1.91,1.91
29.01,29.01,100,100,2.16,2.16,33.13,33.13,0,0,1002.42,1002.42,2022-06-04 01:00:00,203.58,203.58,2.07,2.07
30.75,30.75,100,100,1.79,1.79,31.17,31.17,0,0,1002.11,1002.11,2022-06-04 02:00:00,185.62,185.62,2.23,2.23
32.48,32.48,100,100,1.42,1.42,29.2,29.2,0,0,1001.81,1001.81,2022-06-04 03:00:00,167.65,167.65,2.39,2.39
31.77,31.77,100,100,2.15,2.15,34.93,34.93,0.04,0.04,1001.41,1001.41,2022-06-04 04:00:00,191.89,191.89,2.76,2.76
31.07,31.07,100,100,2.88,2.88,40.67,40.67,0.09,0.09,1001.02,1001.02,2022-06-04 05:00:00,216.12,216.12,3.12,3.12
30.36,30.36,100,100,3.61,3.61,46.4,46.4,0.13,0.13,1000.62,1000.62,2022-06-04 06:00:00,240.36,240.36,3.49,3.49
30.06,30.06,100,100,2.78,2.78,46.8,46.8,0.09,0.09,1000.41,1000.41,2022-06-04 07:00:00,257.81,257.81,2.68,2.68
29.77,29.77,100,100,1.96,1.96,47.2,47.2,0.04,0.04,1000.21,1000.21,2022-06-04 08:00:00,275.26,275.26,1.87,1.87
29.47,29.47,100,100,1.13,1.13,47.6,47.6,0,0,1000,1000,2022-06-04 09:00:00,292.71,292.71,1.06,1.06
28.37,28.37,96.3,96.3,2.96,2.96,50.63,50.63,0,0,1000.29,1000.29,2022-06-04 10:00:00,279.05,279.05,2.14,2.14
27.27,27.27,92.6,92.6,4.79,4.79,53.67,53.67,0,0,1000.59,1000.59,2022-06-04 11:00:00,265.38,265.38,3.22,3.22
26.17,26.17,88.9,88.9,6.63,6.63,56.7,56.7,0,0,1000.89,1000.89,2022-06-04 12:00:00,251.72,251.72,4.3,4.3
25.83,25.83,89.13,89.13,5.23,5.23,57.67,57.67,0,0,1000.97,1000.97,2022-06-04 13:00:00,255.67,255.67,3.53,3.53
25.48,25.48,89.37,89.37,3.84,3.84,58.63,58.63,0,0,1001.04,1001.04,2022-06-04 14:00:00,259.63,259.63,2.75,2.75
25.14,25.14,89.6,89.6,2.44,2.44,59.6,59.6,0,0,1001.11,1001.11,2022-06-04 15:00:00,263.58,263.58,1.98,1.98
24.77,24.77,78.27,78.27,2.45,2.45,59.17,59.17,0,0,1000.81,1000.81,2022-06-04 16:00:00,276.05,276.05,2.06,2.06
24.41,24.41,66.93,66.93,2.45,2.45,58.73,58.73,0,0,1000.5,1000.5,2022-06-04 17:00:00,288.52,288.52,2.14,2.14
24.05,24.05,55.6,55.6,2.46,2.46,58.3,58.3,0,0,1000.2,1000.2,2022-06-04 18:00:00,300.99,300.99,2.22,2.22
24.36,24.36,46.37,46.37,2.32,2.32,54.47,54.47,0,0,1000.17,1000.17,2022-06-04 19:00:00,314.39,314.39,2.19,2.19
24.67,24.67,37.13,37.13,2.19,2.19,50.63,50.63,0,0,1000.13,1000.13,2022-06-04 20:00:00,327.79,327.79,2.16,2.16
24.98,24.98,27.9,27.9,2.06,2.06,46.8,46.8,0,0,1000.1,1000.1,2022-06-04 21:00:00,341.19,341.19,2.13,2.13
26.95,26.95,18.6,18.6,4.18,4.18,41.2,41.2,0,0,1000.98,1000.98,2022-06-04 22:00:00,356.69,356.69,3.27,3.27
28.91,28.91,9.3,9.3,6.3,6.3,35.6,35.6,0,0,1001.85,1001.85,2022-06-04 23:00:00,12.2,12.2,4.41,4.41
30.88,30.88,0,0,8.42,8.42,30,30,0,0,1002.73,1002.73,2022-06-05 00:00:00,27.7,27.7,5.55,5.55
32.39,32.39,0,0,8.14,8.14,26.73,26.73,0,0,1002.57,1002.57,2022-06-05 01:00:00,26.45,26.45,6.2,6.2
33.9,33.9,0,0,7.87,7.87,23.47,23.47,0,0,1002.42,1002.42,2022-06-05 02:00:00,25.2,25.2,6.84,6.84
35.4,35.4,0,0,7.6,7.6,20.2,20.2,0,0,1002.26,1002.26,2022-06-05 03:00:00,23.95,23.95,7.49,7.49
36.3,36.3,1.33,1.33,7.94,7.94,17.33,17.33,0,0,1001.26,1001.26,2022-06-05 04:00:00,29.95,29.95,6.84,6.84
37.2,37.2,2.67,2.67,8.27,8.27,14.47,14.47,0,0,1000.26,1000.26,2022-06-05 05:00:00,35.95,35.95,6.2,6.2
38.1,38.1,4,4,8.61,8.61,11.6,11.6,0,0,999.25,999.25,2022-06-05 06:00:00,41.95,41.95,5.55,5.55
38.31,38.31,2.67,2.67,7.88,7.88,9.47,9.47,0,0,998.56,998.56,2022-06-05 07:00:00,19,19,6.25,6.25
38.51,38.51,1.33,1.33,7.16,7.16,7.33,7.33,0,0,997.87,997.87,2022-06-05 08:00:00,356.06,356.06,6.96,6.96
38.71,38.71,0,0,6.44,6.44,5.2,5.2,0,0,997.18,997.18,2022-06-05 09:00:00,333.11,333.11,7.66,7.66
36.24,36.24,0.13,0.13,5.48,5.48,6.07,6.07,0,0,997.6,997.6,2022-06-05 10:00:00,337.22,337.22,6.3,6.3
33.76,33.76,0.27,0.27,4.52,4.52,6.93,6.93,0,0,998.02,998.02,2022-06-05 11:00:00,341.33,341.33,4.95,4.95
31.28,31.28,0.4,0.4,3.56,3.56,7.8,7.8,0,0,998.44,998.44,2022-06-05 12:00:00,345.44,345.44,3.59,3.59
30.43,30.43,1.17,1.17,4.01,4.01,8.37,8.37,0,0,998.94,998.94,2022-06-05 13:00:00,345.78,345.78,3.7,3.7
29.57,29.57,1.93,1.93,4.46,4.46,8.93,8.93,0,0,999.44,999.44,2022-06-05 14:00:00,346.12,346.12,3.82,3.82
28.71,28.71,2.7,2.7,4.91,4.91,9.5,9.5,0,0,999.94,999.94,2022-06-05 15:00:00,346.46,346.46,3.93,3.93
27.94,27.94,14.3,14.3,4.19,4.19,10,10,0,0,1000.06,1000.06,2022-06-05 16:00:00,347.9,347.9,3.57,3.57
27.18,27.18,25.9,25.9,3.46,3.46,10.5,10.5,0,0,1000.18,1000.18,2022-06-05 17:00:00,349.35,349.35,3.22,3.22
26.41,26.41,37.5,37.5,2.74,2.74,11,11,0,0,1000.29,1000.29,2022-06-05 18:00:00,350.79,350.79,2.86,2.86
25.59,25.59,36.1,36.1,2.67,2.67,11.27,11.27,0,0,1000.8,1000.8,2022-06-05 19:00:00,355.81,355.81,2.76,2.76
24.77,24.77,34.7,34.7,2.6,2.6,11.53,11.53,0,0,1001.31,1001.31,2022-06-05 20:00:00,0.84,0.84,2.67,2.67
23.95,23.95,33.3,33.3,2.54,2.54,11.8,11.8,0,0,1001.81,1001.81,2022-06-05 21:00:00,5.86,5.86,2.57,2.57
25.46,25.46,55.53,55.53,3.87,3.87,13.73,13.73,0,0,1002.46,1002.46,2022-06-05 22:00:00,13.42,13.42,3.3,3.3
26.96,26.96,77.77,77.77,5.19,5.19,15.67,15.67,0,0,1003.11,1003.11,2022-06-05 23:00:00,20.97,20.97,4.04,4.04
28.47,28.47,100,100,6.52,6.52,17.6,17.6,0,0,1003.75,1003.75,2022-06-06 00:00:00,28.53,28.53,4.77,4.77
30.18,30.18,72.03,72.03,7.12,7.12,15.77,15.77,0,0,1003.48,1003.48,2022-06-06 01:00:00,37.24,37.24,4.7,4.7
31.89,31.89,44.07,44.07,7.72,7.72,13.93,13.93,0,0,1003.21,1003.21,2022-06-06 02:00:00,45.96,45.96,4.62,4.62
33.61,33.61,16.1,16.1,8.31,8.31,12.1,12.1,0,0,1002.93,1002.93,2022-06-06 03:00:00,54.67,54.67,4.55,4.55
34.67,34.67,13.13,13.13,8.19,8.19,10.7,10.7,0,0,1002.1,1002.1,2022-06-06 04:00:00,59.41,59.41,4.54,4.54
35.74,35.74,10.17,10.17,8.06,8.06,9.3,9.3,0,0,1001.26,1001.26,2022-06-06 05:00:00,64.15,64.15,4.52,4.52
36.8,36.8,7.2,7.2,7.94,7.94,7.9,7.9,0,0,1000.43,1000.43,2022-06-06 06:00:00,68.89,68.89,4.51,4.51
36.47,36.47,6.37,6.37,7.06,7.06,8.6,8.6,0,0,1000.27,1000.27,2022-06-06 07:00:00,69.03,69.03,5.07,5.07
36.13,36.13,5.53,5.53,6.18,6.18,9.3,9.3,0,0,1000.11,1000.11,2022-06-06 08:00:00,69.18,69.18,5.62,5.62
35.8,35.8,4.7,4.7,5.31,5.31,10,10,0,0,999.95,999.95,2022-06-06 09:00:00,69.32,69.32,6.18,6.18
33.52,33.52,20.37,20.37,6.53,6.53,12.93,12.93,0,0,1000.65,1000.65,2022-06-06 10:00:00,72.14,72.14,5.64,5.64
31.25,31.25,36.03,36.03,7.75,7.75,15.87,15.87,0,0,1001.35,1001.35,2022-06-06 11:00:00,74.95,74.95,5.1,5.1
28.97,28.97,51.7,51.7,8.97,8.97,18.8,18.8,0,0,1002.05,1002.05,2022-06-06 12:00:00,77.77,77.77,4.56,4.56
27.64,27.64,34.47,34.47,7.56,7.56,21.7,21.7,0,0,1003.23,1003.23,2022-06-06 13:00:00,56.83,56.83,4.14,4.14
26.32,26.32,17.23,17.23,6.15,6.15,24.6,24.6,0,0,1004.41,1004.41,2022-06-06 14:00:00,35.9,35.9,3.71,3.71
24.99,24.99,0,0,4.74,4.74,27.5,27.5,0,0,1005.59,1005.59,2022-06-06 15:00:00,14.96,14.96,3.29,3.29
24.35,24.35,22.23,22.23,4.3,4.3,28.97,28.97,0,0,1005.78,1005.78,2022-06-06 16:00:00,20.39,20.39,3.11,3.11
23.72,23.72,44.47,44.47,3.86,3.86,30.43,30.43,0,0,1005.98,1005.98,2022-06-06 17:00:00,25.81,25.81,2.94,2.94
23.09,23.09,66.7,66.7,3.43,3.43,31.9,31.9,0,0,1006.17,1006.17,2022-06-06 18:00:00,31.24,31.24,2.76,2.76
22.49,22.49,68.8,68.8,2.75,2.75,33.6,33.6,0,0,1006.56,1006.56,2022-06-06 19:00:00,36.15,36.15,2.31,2.31
21.89,21.89,70.9,70.9,2.08,2.08,35.3,35.3,0,0,1006.95,1006.95,2022-06-06 20:00:00,41.07,41.07,1.86,1.86
21.3,21.3,73,73,1.41,1.41,37,37,0,0,1007.33,1007.33,2022-06-06 21:00:00,45.98,45.98,1.41,1.41
22.38,22.38,81.73,81.73,1.7,1.7,36.13,36.13,0,0,1007.86,1007.86,2022-06-06 22:00:00,95.75,95.75,1.59,1.59
23.46,23.46,90.47,90.47,2,2,35.27,35.27,0,0,1008.38,1008.38,2022-06-06 23:00:00,145.53,145.53,1.76,1.76
24.54,24.54,99.2,99.2,2.3,2.3,34.4,34.4,0,0,1008.91,1008.91,2022-06-07 00:00:00,195.3,195.3,1.94,1.94
26.24,26.24,99.47,99.47,3.11,3.11,31.5,31.5,0,0,1008.42,1008.42,2022-06-07 01:00:00,197.88,197.88,2.66,2.66
27.94,27.94,99.73,99.73,3.92,3.92,28.6,28.6,0,0,1007.93,1007.93,2022-06-07 02:00:00,200.47,200.47,3.38,3.38
29.64,29.64,100,100,4.73,4.73,25.7,25.7,0,0,1007.44,1007.44,2022-06-07 03:00:00,203.05,203.05,4.1,4.1
31.15,31.15,99.97,99.97,5.08,5.08,23.1,23.1,0,0,1006.34,1006.34,2022-06-07 04:00:00,205.65,205.65,4.29,4.29
32.66,32.66,99.93,99.93,5.44,5.44,20.5,20.5,0,0,1005.24,1005.24,2022-06-07 05:00:00,208.26,208.26,4.49,4.49
34.17,34.17,99.9,99.9,5.8,5.8,17.9,17.9,0,0,1004.14,1004.14,2022-06-07 06:00:00,210.86,210.86,4.68,4.68
34.4,34.4,97.07,97.07,6.2,6.2,17.43,17.43,0,0,1003.42,1003.42,2022-06-07 07:00:00,209.24,209.24,5.18,5.18
34.62,34.62,94.23,94.23,6.61,6.61,16.97,16.97,0,0,1002.71,1002.71,2022-06-07 08:00:00,207.62,207.62,5.68,5.68
34.84,34.84,91.4,91.4,7.01,7.01,16.5,16.5,0,0,1001.99,1001.99,2022-06-07 09:00:00,206,206,6.18,6.18
33.15,33.15,60.93,60.93,5.69,5.69,18.7,18.7,0,0,1001.98,1001.98,2022-06-07 10:00:00,202.25,202.25,4.97,4.97
31.46,31.46,30.47,30.47,4.37,4.37,20.9,20.9,0,0,1001.98,1001.98,2022-06-07 11:00:00,198.5,198.5,3.75,3.75
29.77,29.77,0,0,3.05,3.05,23.1,23.1,0,0,1001.97,1001.97,2022-06-07 12:00:00,194.75,194.75,2.54,2.54
28.92,28.92,0,0,5.32,5.32,26.17,26.17,0,0,1002.35,1002.35,2022-06-07 13:00:00,194.77,194.77,3.09,3.09
28.06,28.06,0,0,7.59,7.59,29.23,29.23,0,0,1002.73,1002.73,2022-06-07 14:00:00,194.78,194.78,3.63,3.63
27.21,27.21,0,0,9.86,9.86,32.3,32.3,0,0,1003.11,1003.11,2022-06-07 15:00:00,194.8,194.8,4.18,4.18
26.49,26.49,19.13,19.13,9.13,9.13,36,36,0,0,1002.98,1002.98,2022-06-07 16:00:00,200.73,200.73,3.99,3.99
25.77,25.77,38.27,38.27,8.4,8.4,39.7,39.7,0,0,1002.85,1002.85,2022-06-07 17:00:00,206.67,206.67,3.8,3.8
25.05,25.05,57.4,57.4,7.66,7.66,43.4,43.4,0,0,1002.71,1002.71,2022-06-07 18:00:00,212.6,212.6,3.61,3.61
24.48,24.48,69.7,69.7,5.59,5.59,46.97,46.97,0,0,1002.97,1002.97,2022-06-07 19:00:00,155.33,155.33,2.91,2.91
23.9,23.9,82,82,3.52,3.52,50.53,50.53,0,0,1003.23,1003.23,2022-06-07 20:00:00,98.05,98.05,2.22,2.22
23.32,23.32,94.3,94.3,1.45,1.45,54.1,54.1,0,0,1003.48,1003.48,2022-06-07 21:00:00,40.78,40.78,1.52,1.52
24.18,24.18,90.33,90.33,2.24,2.24,48.47,48.47,0,0,1004.26,1004.26,2022-06-07 22:00:00,42.27,42.27,2.26,2.26
25.03,25.03,86.37,86.37,3.04,3.04,42.83,42.83,0,0,1005.05,1005.05,2022-06-07 23:00:00,43.75,43.75,3,3
25.88,25.88,82.4,82.4,3.84,3.84,37.2,37.2,0,0,1005.83,1005.83,2022-06-08 00:00:00,45.24,45.24,3.74,3.74
28.02,28.02,59.53,59.53,3.46,3.46,33,33,0,0,1005.41,1005.41,2022-06-08 01:00:00,66.81,66.81,3.61,3.61
30.16,30.16,36.67,36.67,3.08,3.08,28.8,28.8,0,0,1004.99,1004.99,2022-06-08 02:00:00,88.37,88.37,3.49,3.49
32.29,32.29,13.8,13.8,2.71,2.71,24.6,24.6,0,0,1004.57,1004.57,2022-06-08 03:00:00,109.94,109.94,3.36,3.36
33.7,33.7,42.53,42.53,2.48,2.48,22.37,22.37,0,0,1003.6,1003.6,2022-06-08 04:00:00,116.09,116.09,3.05,3.05
35.11,35.11,71.27,71.27,2.25,2.25,20.13,20.13,0,0,1002.63,1002.63,2022-06-08 05:00:00,122.24,122.24,2.73,2.73
36.51,36.51,100,100,2.02,2.02,17.9,17.9,0,0,1001.66,1001.66,2022-06-08 06:00:00,128.39,128.39,2.42,2.42
35.64,35.64,100,100,4.86,4.86,19.13,19.13,0.34,0.34,1001.2,1001.2,2022-06-08 07:00:00,88.43,88.43,5.07,5.07
34.76,34.76,100,100,7.69,7.69,20.37,20.37,0.69,0.69,1000.74,1000.74,2022-06-08 08:00:00,48.46,48.46,7.71,7.71
33.88,33.88,100,100,10.52,10.52,21.6,21.6,1.03,1.03,1000.28,1000.28,2022-06-08 09:00:00,8.5,8.5,10.36,10.36
